contactID,rep_name,stateID,rep_party,rep_pos
SC-TreyGowdy,TreyGowdy,SC,,House
HI-TulsiGabbard,TulsiGabbard,HI,,House
rec2gLPgUJBbAzMDS,unknown,unknown,unknown,unknown
recAK1nSbXmfEMblr,unknown,unknown,unknown,unknown
recAYXaYYpThDXrgX,unknown,unknown,unknown,unknown
recBn0ZaAx1jwUrel,unknown,unknown,unknown,unknown
recEnOW3RpyaDtnpM,unknown,unknown,unknown,unknown
recg2WXU7iTuEBCkD,unknown,unknown,unknown,unknown
recgK3k2Lzyo1uxPt,unknown,unknown,unknown,unknown
rech96inQPKRU34Sw,unknown,unknown,unknown,unknown
recHLlMt4IW9C2kA0,unknown,unknown,unknown,unknown
recHpcWkCENCjn4qi,unknown,unknown,unknown,unknown
recK0cBLfznOvgm0g,unknown,unknown,unknown,unknown
recoODv4zx7Gt8GVm,unknown,unknown,unknown,unknown
recPv40AfmqJGvKVE,unknown,unknown,unknown,unknown
recQYRZDfGdpgoX8c,unknown,unknown,unknown,unknown
recRw0mYTGqOFjCJk,unknown,unknown,unknown,unknown
recvBoLB9lXUSnuqo,unknown,unknown,unknown,unknown
recW8VkfDtI3ZZ61u,unknown,unknown,unknown,unknown
recX4L8Q11QQpZBM0,unknown,unknown,unknown,unknown
recYIrkoSRVkffBE1,unknown,unknown,unknown,unknown
CA-Vacant,Vacant,CA,,House
KS-Vacant,Vacant,KS,,House
FL-ValButlerDemings,ValButlerDemings,FL,,House
FL-VernBuchanan,VernBuchanan,FL,,House
TX-VicenteGonzalez,VicenteGonzalez,TX,,House
MO-VickyHartzler,VickyHartzler,MO,,House
NC-VirginiaFoxx,VirginiaFoxx,NC,,House
NC-WalterBJones,WalterB.Jones,NC,,House
OH-WarrenDavidson,WarrenDavidson,OH,,House
TX-WillHurd,WillHurd,TX,,House
MA-WilliamRKeating,WilliamR.Keating,MA,,House
CA-XavierBecerra,Xavier Becerra,CA,D,House
#NAME?,Xavier Becerra,CA,D,House
NY-YvetteDClarke,Yvette Clarke,NY,D,House
CA-ZoeLofgren,ZoeLofgren,CA,,House
